Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Data Analyst - ETL SQLPython,Pearl Consulting Services,work from office,Chennai,5-10 Yrs,1000000 - 1500000,Very good communication skills Hands on experience in Informatica - PowerCenter ETL Han...,ETL PowerCenter ETL SQL Informatica PLSQLSQL communication R PL-SQL,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-etl-sql-python-pearl-consulting-services-bangalore-bengaluru-5-to-10-years-211122907132
Data Analyst - Technology Consulting,Tiger Analytics,work from office,Chennai,5-10 Yrs,1000000 - 1500000,Bachelors Degree in Engineering Computer Science or related disciplines with strong ma...,IT services XML Javascript Data Analyst JSON Oracle SSIS microsoft,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-technology-consulting-tiger-analytics-5-to-10-years-140922502297
Data Analyst II,Reed Elsevier India (a Part Of Relx India,work from office,Chennai,5-9 Yrs,1000000 - 1500000,Be Proficient with various Data types and formats including but not limited to: XML f...,Health insurance Data analysis Publishing Data management XML Healthcare Data quality Analytics,30+ Days Ago,https:www.naukri.comjob-listings-Data-Analyst-ii-reed-elsevier-india-a-part-of-relx-india-pvt-ltd-5-to-9-years-211122501102
Data Analyst Pharma,Nexinfo India,Permanent Remote,Chennai,8-13 Yrs,1000000 - 1500000,Job descriptionShift timings: PST time zone Seniority level: Expertise Employment type:...,Data analysis pharmaceutical manufacturing communication supply chain presentation skills ,28 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-pharma-nexinfo-india-8-to-13-years-021222005757
Data AnalystChennai Location,Persolkelly India,work from office,Chennai,2-4 Yrs,1000000 - 1500000,s and Responsibilities The ReportingData Analyst  will be a member of the Peop...,Data analysis Power Bi Business intelligence Tableau,14 Days Ago,https:www.naukri.comjob-listings-Data-Analyst-location-persolkelly-india-2-to-4-years-161222010731
Data Analytics,Rarr Technologies,work from office,Chennai,4-10 Yrs,1000000 - 1500000,Mandatory skills to be mentioned in the project details are as follows: Programming Ski...,R Hive Google Sheets Tableau Power BI MS Excel SQL Python,30+ Days Ago,https:www.naukri.comjob-listings-Data-analytics-rarr-technologies-hyderabad-secunderabad-pune-jaipur-bangalore-bengaluru-4-to-10-years-191122500598
Data Analytics Consultant - RSQLAWS,Hashtag Global Solutions,Temp.WFH,Chennai,4-9 Yrs,1000000 - 1500000,Overall IT experience - 4 to 12 years R Studio and R Shiny experience - 1 to 3 years Ex...,SQL Data analysis Data Engineering Snowflake AWS ,30 Days Ago,https:www.naukri.comjob-listings-Data-analytics-consultant-r-sql-aws-hashtag-global-solutions-pune-jaipur-bangalore-bengaluru-4-to-9-years-301122911003
Data Insights Lead,Chryselys,work from office,Chennai,4-6 Yrs,1000000 - 1500000,Extensive experience in building Data pipelines Data Lake architecture using AWS servi...,IT Skills Python Data Science Cloud AWS Tableau Data cleansing Data analysis,30+ Days Ago,https:www.naukri.comjob-listings-Data-insights-lead-chryselys-gurgaon-gurugram-4-to-6-years-261022501650
Data Modeller,CliqHR Recruitment Services,work from office,Chennai,6-9 Yrs,1000000 - 1500000,Understanding Business Requirement and visualize Data to be modeledOracle EBS knowledge...,Data modeling Oracle EBS Supply Chain Supply Chain modules Data warehouse EBS Oracle ,30+ Days Ago,https:www.naukri.comjob-listings-Data-modeller-cliqhr-recruitment-services-mumbai-pune-bangalore-bengaluru-6-to-9-years-111122908909
Data Scientist,Resulticks,work from office,Chennai,5-10 Yrs,1000000 - 1500000,Experience in articulating Business questions and using mathematical techniques to arri...,IT Skills Python Machine Learning Big Data Data analysis Prototype Analytical Perl,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-resulticks-5-to-10-years-280722501196
Data Scientist,Cynosure Corporate Solutions,work from office,Chennai,4-8 Yrs,1000000 - 1500000,Additionally having prior experience working with Databases Oracle MongoDB is also pr...,Data science machine learning python Data mining Oracle AWS R Program ,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-cynosure-corporate-solutions-4-to-8-years-071022016163
Data Scientist,Rfid4u It Solutions,work from office,Coimbatore,3-8 Yrs,1000000 - 1500000,A drive to learn and master new technologies and techniquesYou should have strong exper...,communication Data mining Data analysis software development Computer languages Neural networks Machine learning Packaging,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-rfid4u-it-solutions-private-limited-coimbatore-3-to-8-years-220922502305
Data Scientist,Seven Consultancy (HR Solution),work from office,Chennai,3-8 Yrs,1000000 - 1500000,Be able to take the initiative and work with minimum guidance and requirementsMust have...,Data science Workflow management OOPS Machine learning Infrastructure Programming Data structures Data analytics,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-seven-consultancy-hr-solution-3-to-8-years-280322501506
Data Scientist,Cotiviti,Hybrid,Coimbatore,3-5 Yrs,1000000 - 1500000,Must have implemented machine learning solutions withinProduction environments at scal...,tensorflow financial analysis python health insurance Hadoop BigData US Healthcare machine learning,29 Days Ago,https:www.naukri.comjob-listings-Data-scientist-cotiviti-hyderabad-secunderabad-pune-coimbatore-3-to-5-years-011222005780
Data Scientist - Artificial Intelligence Machine Learning Algorithms,Zorba Consulting India Pvt. Ltd.,work from office,Chennai,5-10 Yrs,1000000 - 1500000,Hands on experience on supervised and unsupervised machine learning techniques 5+ years...,Machine Learning Algorithms Java R C++ Artificial Intelligence Big Data Machine Learning Algorithm,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-artificial-intelligence-machine-learning-algorithms-zorba-consulting-india-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-5-to-10-years-241122913282
Data Scientist - Data Mining,Huquo Consulting Pvt. Ltd,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Statistics - Good applied statistical skills including knowledge of statistical tests...,Data Visualization Tools Java C++ Data Wrangling Scala Data Mining Machine Learning SQL,2 Days Ago,https:www.naukri.comjob-listings-Data-scientist-Data-mining-huquo-consulting-pvt-ltd-noida-bangalore-bengaluru-3-to-8-years-271222911477
Data Scientist - NLP Python Spark,TalPro,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Education: BachelorsMasters in a quantative fieldsAnalytics certificate programs fro...,NLP Spark Python Data Scientist Hadoop Tableau Data Analytics SQL,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-nlp-python-spark-talpro-kolkata-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-211122905064
Data Scientist - SparkP ython Redshift,Career Infosystem,work from office,Chennai,6-9 Yrs,1000000 - 1500000,Job OverviewWe are lookinga Data Scientist who will support ourProduct sales le...,Data Science R Data Scientist Data Mining Data Modeling Distributed Computing Spark Data Analytics,3 Days Ago,https:www.naukri.comjob-listings-Data-scientist-spark-python-redshift-career-infosystem-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-6-to-9-years-271222907042
Data Scientist and Senior Data Scientist,3i Infotech,Hybrid,Chennai,5-10 Yrs,1000000 - 1500000,Experience in Data mining Proven experience as a Data Scientist or Data Analyst Experie...,Data Science Data Scientist Python bigData frameworks Tableau presentation Hadoop Power BI,30+ Days Ago,https:www.naukri.comjob-listings-Data-scientist-and-senior-Data-scientist-3i-infotech-limited-5-to-10-years-021122605367
Data Scientist- Edge Analytics,Mindtree,work from office,Chennai,5-8 Yrs,1000000 - 1500000,Strong working experience(5-8 years) of experience of working with industrial machine d...,machine Data Analytics,6 Days Ago,https:www.naukri.comjob-listings-Data-scientist-edge-analytics-mindtree-limited-5-to-8-years-241222500052
Data SCIENTIST NXT-ANALYTICS AND AI,Mindtree,work from office,Chennai,7-8 Yrs,1000000 - 1500000,o Atleast 5 years Should have experience in: o Coding in Python 3 o Exploratory Data An...,Data analysis Backend Coding Programming Deployment Troubleshooting Analytics Python,3 Days Ago,https:www.naukri.comjob-listings-Data-scientist-nxt-analytics-and-ai-mindtree-limited-7-to-8-years-261222502886
Engagement Manager - Corporate Governance Firm,Primo Hiring,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Business administration degree is a must 3+ proven experience in your field of expertise,Data analysis project management ERP research CRM ,2 Days Ago,https:www.naukri.comjob-listings-engagement-manager-corporate-governance-firm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-8-years-281222907528
Engineer - Artificial Intelligence & Machine Learning,Independent HR Consulting,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Must have experience in Machine Learning Algorithm Development and Image Processing Mu...,C++ Artificial Intelligence OOAD Machine Vision Deep Learning Machine Learning Algorithm Development Image Processing,30+ Days Ago,https:www.naukri.comjob-listings-engineer-artificial-intelligence-machine-learning-independent-hr-consulting-3-to-8-years-281122906146
Engineering Manager - Cloud Engineering,Mode,work from office,Chennai,5-6 Yrs,1000000 - 1500000,Must be a multi-task master with the ability to prioritize well in a fast paced dynami...,Product management Postgresql MySQL Consulting Presales Data analytics Data visualization Business intelligence,30+ Days Ago,https:www.naukri.comjob-listings-engineering-manager-cloud-engineering-mode-india-pvt-ltd-5-to-6-years-171022501636
Data Analyst,Guidewire ,Hybrid,Chennai,4-8 Yrs,1000000 - 1500000,Experience: 4+ YearsDetailed experience in P&C Insurance on Guidewire DataHubInfoCen...,Gap Analysis SQL Queries guidewire Microsoft SQL Data analysis ,5 Days Ago,https:www.naukri.comjob-listings-guidewire-Data-Analyst-tech-mahindra-ltd-hyderabad-secunderabad-bangalore-bengaluru-4-to-8-years-181022014733
IT Business Analyst - Consultant,Transunion,work from office,Chennai,6-11 Yrs,1000000 - 1500000,Candidates must be able to lead workshops and meetings to drive decisions and outcomes ...,Business process Front office Data analysis Sales operations Business analysis Back office Operations Financial services,28 Days Ago,https:www.naukri.comjob-listings-it-Business-Analyst-consultant-transunion-software-services-pvt-ltd-6-to-11-years-021222501296
Lead Analyst - Data Management Quantitative Analysis,BNY Mellon,work from office,Chennai,7-9 Yrs,1000000 - 1500000,Candidate should be able to aggregate interpret complex Data sets to formulate key ste...,stakeholder management quantitative analysis excel powerpoint Python power bi ,14 Days Ago,https:www.naukri.comjob-listings-lead-Analyst-Data-management-quantitative-analysis-bny-mellon-pune-7-to-9-years-161222009428
Lead Data Engineer - Data Warehousing,Huquo Consulting Pvt. Ltd,work from office,Chennai,7-10 Yrs,1000000 - 1500000,Must be able to communicate ideas and analysis results effectively both verbally and in...,Business Intelligence RDBMS Hadoop Data Warehousing Data Integration analytical Data Pipeline ,30+ Days Ago,https:www.naukri.comjob-listings-lead-Data-engineer-Data-warehousing-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-7-to-10-years-141122907831
Lead Engineer,Valeo,work from office,Chennai,3-7 Yrs,1000000 - 1500000,Required SkillsExperience Experience in Deep Learning in one of the following: objec...,deep learning Computer vision Analytical Intellectual property Machine learning Data structures Workflow Research,30+ Days Ago,https:www.naukri.comjob-listings-lead-engineer-valeo-india-pvt-ltd-3-to-7-years-281122501655
LeadAssistant ManagerManagerSenior ManagerAVP - Campaign Analytics,Huquo Consulting Pvt. Ltd,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Good Communication Skill,Campaign Analytics SAS Campaign Management Data Analytics Statistics Analytics SQL ,11 Days Ago,https:www.naukri.comjob-listings-lead-assistant-manager-manager-senior-manager-avp-campaign-analytics-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-3-to-8-years-191222901537
LookingDatastage Developer-Remote,Alpharithm Technologies,Hybrid,Chennai,4-6 Yrs,1000000 - 1500000,Experience in writing complex SQL queries to perform Data analysisSolid understanding o...,Unix Datastage SQL ETL,2 Days Ago,https:www.naukri.comjob-listings-looking-for-Datastage-developer-remote-alpharithm-technologies-bangalore-bengaluru-mumbai-all-areas-4-to-6-years-281222004425
Manager - Credit Risk Strategy - Risk Analytics,Huquo Consulting Pvt. Ltd,work from office,Chennai,2-7 Yrs,1000000 - 1500000,Perform other related duties as required and assigned Excellent SQL or SAS skills: exte...,Credit Risk Strategy Data analysis SAS Statistics Analytics SQL R Excel,17 Days Ago,https:www.naukri.comjob-listings-manager-credit-risk-strategy-risk-analytics-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-bangalore-bengaluru-delhi-ncr-2-to-7-years-131222905767
Manager - Credit Risk Strategy - Risk Analytics,Huquo Consulting Pvt. Ltd,work from office,Chennai,2-7 Yrs,1000000 - 1500000,Perform other related duties as required and assigned Excellent SQL or SAS skills: exte...,Credit Risk SAS Risk Analytics Data Analytics Statistics Analytics SQL ,23 Days Ago,https:www.naukri.comjob-listings-manager-credit-risk-strategy-risk-analytics-huquo-consulting-pvt-ltd-kolkata-mumbai--vizag-hyderabad-secunderabad-pune-ahmedabad-delhi-ncr-bangalore-bengaluru-2-to-7-years-071222911447
Manager Data Science 1,Xoom,work from office,Chennai,8-12 Yrs,1000000 - 1500000,Bachelor sMaster s degree in a quantitative field (such as Analytics Statistics Ma...,Product management Data analysis Data science Data modeling Project management Analytical Management consulting Machine learning,23 Days Ago,https:www.naukri.comjob-listings-manager-Data-science-1-xoom-inc-8-to-12-years-071222500731
Master Data Management ,RICHMOND TALENT,work from office,Coimbatore,10-15 Yrs,1000000 - 1500000,Shift timing : 6 PM to 3 AM This position will support operations by monitoring and ana...,master Data management sql Data analysis MDM relational Databases ,2 Days Ago,https:www.naukri.comjob-listings-master-Data-management-shift-timing-6-pm-to-3-am-richmond-talent-coimbatore-10-to-15-years-281222003481
MicroStrategy Developer,CliqHR Recruitment Services,work from office,Chennai,6-10 Yrs,1000000 - 1500000,Analysis and interpretation of Business requirements and translation into technical req...,MicroStrategy Data Management Tableau Hive Analysis Performance tuning Data Quality Spark,30+ Days Ago,https:www.naukri.comjob-listings-microstrategy-developer-cliqhr-recruitment-services-bangalore-bengaluru-6-to-10-years-221122914614
Model Developer - Model Validation - KPO,Elixir Web Solutions,work from office,Chennai,1-6 Yrs,1000000 - 1500000,BachelorsMasters degree in economics mathematics actuarial sciences computer scie...,Java AngularJS Javascript Full Stack Spring Boot Data Analytics Machine Learning Analytics,30+ Days Ago,https:www.naukri.comjob-listings-model-developer-model-validation-kpo-elixir-web-solutions-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-1-to-6-years-231122912425
OpeningDatabase Developer with Informatica atChennai & Mumbai,Convate Consultancy Services,work from office,Chennai,4-7 Yrs,1000000 - 1500000,Dear Candidate We have a JobDatabase Developer with Informatica in Bankin...,Informatica Data analysis and Data mapping and consequently Data integration,11 Days Ago,https:www.naukri.comjob-listings-opening-for-Database-developer-with-informatica-at-mumbai-convate-consultancy-services-mumbai-all-areas-4-to-7-years-191222005831
PMO,2coms,work from office,Chennai,9-14 Yrs,1000000 - 1500000,Bachelor s degree in EngineeringFinanceCommerce Input to Solutions Teamnew dea...,PMO ,14 Days Ago,https:www.naukri.comjob-listings-pmo-2coms-9-to-14-years-161222905719
Power BI Developer,Diverse Lynx,Hybrid,Chennai,4-8 Yrs,1000000 - 1500000,Experience in Banking domain will be a plus,power bi Data analysis ssas sql,Today,https:www.naukri.comjob-listings-power-bi-developer-tech-mahindra-4-to-8-years-301222003281
Principal Data Analyst I,Mr Cooper,work from office,Chennai,3-8 Yrs,1000000 - 1500000,Graduation from a 4-year college or university with major course work in a discipline r...,US mortgage Warehouse Diversity and Inclusion Data Analyst Stored procedures Information technology Data warehousing Principal,30+ Days Ago,https:www.naukri.comjob-listings-principal-Data-Analyst-i-mr-cooper-3-to-8-years-120822501845
Principal MLE,Tiger Analytics,work from office,Chennai,15-20 Yrs,1000000 - 1500000,B Tech from Tier-1 collegeMS or M Tech is preferred Proficient in structured program...,orchestration Analytical Consulting Machine learning Workflow Silicon Customer engagement Analytics,23 Days Ago,https:www.naukri.comjob-listings-principal-mle-tiger-analytics-15-to-20-years-071222501490
Process Data Engineer,Shell,work from office,Chennai,2-5 Yrs,1000000 - 1500000,Responsibilities:Summary Skills Required: HSSE awareness & best practices (Chemical En...,Data Engineering ERPs Six Sigma benchmarking Data management Power BI KPI Data mining,30+ Days Ago,https:www.naukri.comjob-listings-process-Data-engineer-shell-india-markets-private-limited-2-to-5-years-161122912787
Program Manager,Kanini Vanporul Systems Llp,work from office,"Chennai, Coimbatore ",8-15 Yrs,1000000 - 1500000,Validate and monitor implementation of technology solutions to enhance process efficien...,Data analysis SAS Staffing Project management Process improvement MS Office Risk management Forecasting,30+ Days Ago,https:www.naukri.comjob-listings-program-manager-kanini-software-solutions-india-private-limited-noida-pune-coimbatore-bangalore-bengaluru-8-to-15-years-261022501621
R&A Mobility Network & Marketing PAR,Shell Pvt Ltd,work from office,Chennai,3-6 Yrs,1000000 - 1500000,Works autonomously within this scope with regular steer required e.g,HP Data protector Networking Representative Management Supervision Recruitment,3 Days Ago,https:www.naukri.comjob-listings-r-a-mobility-network-Marketing-par-shell-pvt-ltd-3-to-6-years-271222500309
R&R COE,Varite,work from office,Chennai,2-8 Yrs,1000000 - 1500000,Shift: Regular Local Working Hours (aligned with NAM working hours) Education Level: Ma...,IT Skills Python Project Management Big Data BPO project management Unix Loans,30+ Days Ago,https:www.naukri.comjob-listings-r-r-coe-varite-2-to-8-years-240822502109
Regulatory Modeling  - Model Development & Monitoring,Elixir Web Solutions,work from office,Chennai,1-6 Yrs,1000000 - 1500000,Candidates From Tier 12 colleges required to have w 6 months - 7 years experience Ba...,Program Management Project Management Agile Project Life Cycle,2 Days Ago,https:www.naukri.comjob-listings-regulatory-modeling--model-development-monitoring-elixir-web-solutions-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-1-to-6-years-281222906227
Senior AI Engineer,Codemantra,work from office,Chennai,5-8 Yrs,1000000 - 1500000,Experience in building DL and NLP Modelsimage and text analytics using CNN RNN L...,deep learning computer vision python machine learning opencv ,30 Days Ago,https:www.naukri.comjob-listings-senior-ai-engineer-codemantra-5-to-8-years-301122010272
Senior Analyst,Hoffmann-La Roche,work from office,Chennai,2-5 Yrs,1000000 - 1500000,You will be required to conceptualize complex unstructured problems and apply analytica...,Data analysis SAS Senior Analyst Pharma Consulting Manager Technology Healthcare Analytics,30+ Days Ago,https:www.naukri.comjob-listings-senior-Analyst-hoffmann-la-roche-hyderabad-secunderabad-2-to-5-years-160922502119
Senior Analyst - MSTR,InfoCepts,Hybrid,Chennai,5-7 Yrs,1000000 - 1500000,MicroStrategy X X experience is preferred Certification is a plusExperience in develo...,Microstrategy Data analysis unit testing Web Servers performance tuning Data Integration SQL ,3 Days Ago,https:www.naukri.comjob-listings-senior-Analyst-mstr-infocepts-nagpur-pune-5-to-7-years-271222004508
Senior Analyst Data Management & Quantitative Analysis,BNY Mellon,work from office,Chennai,2-3 Yrs,1000000 - 1500000,Bachelors degree or the equivalent combination of education and experience 3 years expe...,Analyst Data management Analytical Finance Manager Technology Representative SQL Quantitative analysis,30+ Days Ago,https:www.naukri.comjob-listings-senior-Analyst-Data-management-quantitative-analysis-bny-mellon-international-operations-india-2-to-3-years-101122500963
Senior Analyst Data Scientist,Tiger Analytics,work from office,Chennai,2-7 Yrs,1000000 - 1500000,2 years of must-have hands-on experience in SAS and Python is mandatoryExperience worki...,Analyst Statistical modeling SAS Data science risk modeling Machine learning big Data Financial services,30+ Days Ago,https:www.naukri.comjob-listings-senior-Analyst-Data-scientist-tiger-analytics-hyderabad-secunderabad-bangalore-bengaluru-2-to-7-years-220922501686
Senior Analyst Assistant Manager - Digital Analytics - KPO,Pylon Management Consulting,work from office,Chennai,2-7 Yrs,1000000 - 1500000,Manage end-to-end digital performance tracking including the planning coordination i...,Data Visualization Tableau Data Analytics Analytics Python Business Intelligence Web Analytics SQL,6 Days Ago,https:www.naukri.comjob-listings-senior-Analyst-assistant-manager-manager-digital-analytics-kpo-pylon-management-consulting-kolkata-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-2-to-7-years-231222911582
Senior Analyst Assistant Manager - Digital Analytics - KPO,PYLON Management Consulting Private Limited,work from office,Chennai,2-7 Yrs,1000000 - 1500000,Manage end-to-end digital performance tracking including the planning coordination i...,Digital Analytics CRM digital Marketing Google Ad Google BigQuery Excel Google Tag Manager Adobe Omniture,30+ Days Ago,https:www.naukri.comjob-listings-senior-Analyst-assistant-manager-manager-digital-analytics-kpo-pylon-management-consulting-private-limited-kolkata-mumbai-pune-ahmedabad-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-2-to-7-years-291122912101
Senior BI Analyst,Elitez Group Of Companies,work from office,Chennai,7-10 Yrs,1000000 - 1500000,Should have at least 3 years of experience in ETL Minimum 7 years of experience in Busi...,IT services Data analysis development testing Technical design BI Analyst Design development power bi Business intelligence,30+ Days Ago,https:www.naukri.comjob-listings-senior-bi-Analyst-arient-solutions-7-to-10-years-091020500488
Senior Business Analyst,Freshworks,work from office,Chennai,5-6 Yrs,1000000 - 1500000,BachelorsMaster s Degree in computer science engineering or an equivalent combinati...,Computer science Data management Project management Agile Customer support Gap analysis Customer service SQL,24 Days Ago,https:www.naukri.comjob-listings-senior-Business-Analyst-freshdesk-5-to-6-years-051222501233
Senior ConsultantAMManager - Data Analytics - Internal Audit - BFSI,Phenom placement,work from office,Chennai,2-7 Yrs,1000000 - 1500000,Develop requirements in collaboration with the Business Audit Team design code test...,Data Analytics Audit Internal Audit MS Excel SAS MS Access Data Management Tableau,30+ Days Ago,https:www.naukri.comjob-listings-senior-consultant-am-manager-Data-analytics-internal-audit-bfsi-phenom-placement-mumbai-bangalore-bengaluru-2-to-7-years-291122913755
Senior Data Analyst,Inspire Analytics,Temp.WFH,Chennai,3-5 Yrs,1000000 - 1500000,Location: Work from home is flexible but individuals must be eligible to work in Chenna...,Tableau SQL SQL Database Python Airflow engagement Plotly Schema,30+ Days Ago,https:www.naukri.comjob-listings-senior-Data-Analyst-inspire-analytics-private-limited-hyderabad-secunderabad-bangalore-bengaluru-3-to-5-years-030622008913
Senior Operations Analyst,Walmart,work from office,Chennai,10-20 Yrs,1000000 - 1500000,Bachelor of Science and 4 years operations Analyst experience OR 6 years operations ana...,Data analysis Change management ERP Project management Analytical Scheduling Customer service Analytics,11 Days Ago,https:www.naukri.comjob-listings-senior-operations-Analyst-walmart-labs-10-to-20-years-191222501041
Senior Solutions Engineer,Mode,work from office,Chennai,5-10 Yrs,1000000 - 1500000,Must be a multi-task master with the ability to prioritize well in a fast paced dynami...,Product management Postgresql MySQL Consulting Presales Data analytics Data visualization Business intelligence,30+ Days Ago,https:www.naukri.comjob-listings-senior-solutions-engineer-mode-5-to-10-years-151022500497
Senior Specialist GBS Reporting & Analytics,Adidas,work from office,Chennai,3-8 Yrs,1000000 - 1500000,VBA PowerQuery and Advanced Excel skills are required3+ years relevant work experienc...,Business services Data analysis SAP Business analysis Analytical Data collection Troubleshooting Data mining,30+ Days Ago,https:www.naukri.comjob-listings-senior-specialist-gbs-reporting-analytics-adidas-group-3-to-8-years-181122500657
SeniorLead - Machine Learning EngineerMLOps,Tiger Analytics,work from office,Chennai,10-12 Yrs,1000000 - 1500000,B Tech from Tier-1 collegeMS or M Tech is preferred Should be knowledgeable about th...,orchestration Analytical Consulting Machine learning Workflow Silicon Customer engagement Analytics,30+ Days Ago,https:www.naukri.comjob-listings-senior-lead-machine-learning-engineer-mlops-tiger-analytics-hyderabad-secunderabad-bangalore-bengaluru-10-to-12-years-270722501132
Software EngineerCybersecurity,ICU Medical,work from office,Chennai,2-6 Yrs,1000000 - 1500000,Experience Qualifications: - 2 years of work experience with a bachelor s degree or a p...,Solution architecture deep learning Statistical modeling Data science Office equipment Machine learning Programming Information retrieval,30+ Days Ago,https:www.naukri.comjob-listings-software-engineer-cybersecurity-icu-medical-2-to-6-years-231122505183
Specialist - Analytics (Procurement),Olam International,Hybrid,Chennai,3-6 Yrs,1000000 - 1500000,Proficiently use statistical programming software such as Python SPSS R SAS (Python ...,Spend Analytics analytics Power Bi predictive analytics Dax Excel Macros Excel Vba ,21 Days Ago,https:www.naukri.comjob-listings-specialist-analytics-procurement-olam-information-services-3-to-6-years-091222003879
Sr BI Analyst,Useready,work from office,Chennai,5-7 Yrs,1000000 - 1500000,As a Senior Tableau Developer you will be responsiblefollowing:An individual cont...,Tableau Python SQL Data Warehousing Data modelling Data analysis Hive communication,7 Days Ago,https:www.naukri.comjob-listings-sr-bi-Analyst-useready-pune-5-to-7-years-231222007994
Sr Data Analytics Consultant,ARA Resources pvt ltd,work from office,Chennai,3-5 Yrs,1000000 - 1500000,Bachelors MAMSc College Degree or Higher in applied mathematics statistics engine...,Data analysis written Data integration SQL Database structures verbal communication Data warehouses SAS,16 Days Ago,https:www.naukri.comjob-listings-sr-Data-analytics-consultant-ara-resources-pvt-ltd-hyderabad-secunderabad-3-to-5-years-131222911935
Sr Data Analytics Consultant,ARA Resources pvt ltd,work from office,Chennai,3-5 Yrs,1000000 - 1500000,Bachelors MAMSc College Degree or Higher in applied mathematics statistics engine...,Data Analytics written SAS verbal communication Data warehouses Data integration SQL Database structures,18 Days Ago,https:www.naukri.comjob-listings-sr-Data-analytics-consultant-ara-resources-pvt-ltd-hyderabad-secunderabad-3-to-5-years-121222908255
Sr Lead Engineer - Deep Learning,Valeo,work from office,Chennai,4-9 Yrs,1000000 - 1500000,Required SkillsExperience Experience in Deep Learning in one of the following: objec...,deep learning Computer vision Analytical Intellectual property Machine learning Data structures Workflow Research,30+ Days Ago,https:www.naukri.comjob-listings-sr-lead-engineer-deep-learning-valeo-india-pvt-ltd-4-to-9-years-201022502705
Sr. Lead Analytics Consultant,Randstad India,Hybrid,Chennai,9-14 Yrs,1000000 - 1500000,Candidate must have experience in :-,NLP SAS Speech Analytics Text Analytics SQL SQL 3 analytical ,29 Days Ago,https:www.naukri.comjob-listings-sr-lead-analytics-consultant-randstad-india-hyderabad-secunderabad-9-to-14-years-301122015593
Sr. OfficerAssistant Manager Data Analytics,Rsm Gc Advisory Services,work from office,Chennai,2-4 Yrs,1000000 - 1500000,Self-motivated innovative capable of handling stress willingness to travel and meet ...,Data analysis Assurance Manager Quality Assurance cyber security Data processing Data quality Data visualization Information technology,30+ Days Ago,https:www.naukri.comjob-listings-sr-officer-assistant-manager-Data-analytics-rsm-gc-advisory-kolkata-mumbai-gandhidham-bangalore-bengaluru-2-to-4-years-060622500600
Sr. Platform Analyst,Philips,work from office,Chennai,10-12 Yrs,1000000 - 1500000,Looking at the challenges the world is facing today Philips purpose has never been mor...,PLM ERP Data migration SAP Analytical CAD Scrum Business continuity,30+ Days Ago,https:www.naukri.comjob-listings-sr-platform-Analyst-philips-india-limited-10-to-12-years-311022500212
Sr. Process Data Engineer,Shell Pvt Ltd,work from office,Chennai,3-6 Yrs,1000000 - 1500000,Full time equivalent Degree Petum Engineering with minimum of 2 years experienceWor...,Data management Technical writing Project management Analytical Asset management MS Office Risk management Technical support,7 Days Ago,https:www.naukri.comjob-listings-sr-process-Data-engineer-shell-pvt-ltd-3-to-6-years-221222500934
Sr. Process Data Engineer - PRS,Shell Pvt Ltd,work from office,Chennai,1-4 Yrs,1000000 - 1500000,The successful candidate should have a University Degree in Geoscience Reservoir engin...,Data analysis Assurance Data management Risk management Forecasting Technical support Petum Downstream,7 Days Ago,https:www.naukri.comjob-listings-sr-process-Data-engineer-prs-shell-pvt-ltd-1-to-4-years-221222500935
