Job Role,Company,Job Type,Location,Experience,Salary per annual,Description,Key Skills,Posted on,Apply link
Financial Data Analysts,C Infotech,work from office,Chennai,2-4 Yrs,300000 - 600000,Financial Data Analysts Schedule: Full Time City:Chennai,assembly language Six Sigma JavaScript Real Time Operating Systems .NET HTML Oracle Python,30+ Days Ago,https:www.naukri.comjob-listings-financial-Data-Analysts-c-mots-infotech-pvt-ltd-2-to-4-years-230818500447
GIS Analyst,P S International HR Consultants,work from office,Chennai,0-6 Yrs,300000 - 600000,Experience in Handling Point Cloud DataClassification and Measurement AnalyticsReq...,Data analysis Image processing Renewable energy AutoCAD Analytical Microstation Remote sensing Analytics,30+ Days Ago,https:www.naukri.comjob-listings-gis-Analyst-p-s-international-hr-consultants-0-to-6-years-081022500070
HR Shared Services - Reporting Analyst,Guardian Lifecare,work from office,Chennai,2-6 Yrs,300000 - 600000,Bachelors degree with 2 years of relevant work experience 2 years Workday report writer...,Payroll Data validation Excel Reporting Analyst Agile Scheduling Data analytics Management,8 Days Ago,https:www.naukri.comjob-listings-hr-shared-services-reporting-Analyst-guardian-life-2-to-6-years-211222503060
NLP Engineers at HCLChennai & Bangalore,HCLTech,work from office,Chennai,5-10 Yrs,300000 - 600000,The individual requires excellent analytical skills required to mine Data develop algo...,Algorithm Development C++ Opencv Natural Language Processing Python analysis analytical Data mining,30 Days Ago,https:www.naukri.comjob-listings-immediate-hiring-for-nlp-engineers-at-hcl-bangalore-hcl-technologies-limited-bangalore-bengaluru-5-to-10-years-110522003283
IT Business Analyst,CreditAccess Grameen,work from office,Chennai,3-8 Yrs,300000 - 600000,Minimum 4+ years of experience in Project ImplementationNBFC BFSI SectorProduct ...,Product Development Business Analyst Business Analysis It Solutions IT Analyst Data Analyst,24 Days Ago,https:www.naukri.comjob-listings-it-Business-Analyst-creditaccess-grameen-3-to-8-years-061222009489
IT Financial Management Analytics Senior Analyst,The Depository Trust &amp; Clearing Corporation (DTCC),work from office,Chennai,3-6 Yrs,300000 - 600000,Bachelors degree is preferred Minimum of 3 years of related experience Advanced Excel s...,Procurement Automation Data management Hyperion Reconciliation Data integrity Oracle Business intelligence,30+ Days Ago,https:www.naukri.comjob-listings-it-financial-management-analytics-senior-Analyst-the-depository-trust-amp-amp-clearing-corporation-dtcc-3-to-6-years-141122500644
Lead - Customer Experience,Sutherland,Permanent Remote,Chennai,2-4 Yrs,300000 - 600000,Knowledge is required to perform basic math including calculations using fractions pe...,Data analytics power bi dashboards excel powerpoint,6 Days Ago,https:www.naukri.comjob-listings-lead-customer-experience-sutherland-2-to-4-years-231222013750
Lead - ETL Architect,Carboline,work from office,Coimbatore,7-12 Yrs,300000 - 600000,Hands on experience in Agile-SCRUM SDLC and has ability to break down the Business requ...,python power bi ETL ETL Architect Data analysis SQL Datawarehousing ,29 Days Ago,https:www.naukri.comjob-listings-lead-etl-architect-carboline-coimbatore-7-to-12-years-011222006146
Lead - MIS Reporting,Sutherland Global Services Inc,Permanent Remote,Chennai,2-7 Yrs,300000 - 600000,Experience in Power point Pivot slicers and PowerPivot - Create daily weekly and M...,PowerPivot analytical MIS slicers MS Access Pivot Power point MS Excel,30+ Days Ago,https:www.naukri.comjob-listings-lead-mis-reporting-sutherland-global-services-inc-2-to-7-years-230822500250
Machine Learning Professional,Diverse Lynx,work from office,Chennai,2-6 Yrs,300000 - 600000,Design and develop machine learning and deep learning systems according to requirements...,machine learning Python IT Skills Training deep learning Backend Statistical analysis Data quality,30+ Days Ago,https:www.naukri.comjob-listings-machine-learning-professional-diverse-lynx-2-to-6-years-010822500665
